fact_id,metric,value,unit,period,source_id,published_date,accessed_date,methodology,verified_status,stale_status,used_in_conclusion,notes
FACT-PLACEHOLDER,数据缺失,数据缺失,数据缺失,2026Q1,SRC-PLACEHOLDER,数据缺失,数据缺失,数据缺失,待核实,待核查,否,占位行；待核实后再进入结论
FACT-2026Q1-001,total_revenue_usd_bn,109.896,USD bn,2026Q1,SRC-2026Q1-ER,2026-04-29,2026-05-18,官方公告披露总收入 109896 million,已核实,未过期,是,总收入用于 FCF margin 和 CapEx/revenue 派生计算
FACT-2026Q1-002,search_revenue_growth_yoy_pct,19,%,2026Q1,SRC-2026Q1-ER,2026-04-29,2026-05-18,Google Search & other revenue growth YoY,已核实,未过期,是,Search 护城河评分输入
FACT-2026Q1-003,cloud_revenue_usd_bn,20.028,USD bn,2026Q1,SRC-2026Q1-ER,2026-04-29,2026-05-18,Google Cloud revenue 20028 million,已核实,未过期,是,Cloud 第二曲线评分辅助事实
FACT-2026Q1-004,cloud_revenue_growth_yoy_pct,63,%,2026Q1,SRC-2026Q1-ER,2026-04-29,2026-05-18,Google Cloud revenue growth YoY,已核实,未过期,是,Cloud 第二曲线评分输入
FACT-2026Q1-005,cloud_operating_margin_pct,32.9,%,2026Q1,SRC-2026Q1-ER,2026-04-29,2026-05-18,Google Cloud operating income 6.598bn / revenue 20.028bn,已核实,未过期,是,Cloud 第二曲线评分输入；由官方分部数据计算
FACT-2026Q1-006,operating_cash_flow_usd_bn,45.790,USD bn,2026Q1,SRC-2026Q1-ER,2026-04-29,2026-05-18,官方现金流量表 Net cash provided by operating activities,已核实,未过期,是,现金流质量事实
FACT-2026Q1-007,capex_usd_bn,35.674,USD bn,2026Q1,SRC-2026Q1-ER,2026-04-29,2026-05-18,官方现金流量表 Purchases of property and equipment,已核实,未过期,是,AI 投入压力事实
FACT-2026Q1-008,free_cash_flow_usd_bn,10.116,USD bn,2026Q1,SRC-2026Q1-ER,2026-04-29,2026-05-18,官方 non-GAAP FCF reconciliation,已核实,未过期,是,FCF 评分基础事实
FACT-2026Q1-009,ttm_free_cash_flow_usd_bn,64.429,USD bn,TTM Q1 2026,SRC-2026Q1-ER,2026-04-29,2026-05-18,官方 TTM FCF reconciliation,已核实,未过期,是,TTM FCF 未低于 50bn 危险线
FACT-2026Q1-010,cloud_backlog_usd_bn,462.3,USD bn,2026Q1,SRC-2026Q1-10Q,2026-04-30,2026-05-18,10-Q 披露 Google Cloud related revenue backlog,已核实,未过期,是,必须连同 FACT-2026Q1-011 的口径变化一起使用
FACT-2026Q1-011,cloud_backlog_methodology_change,口径变化,文字,2026Q1,SRC-2026Q1-10Q,2026-04-30,2026-05-18,2026Q1 起 backlog 纳入原始预期期限一年及以内合同；相关部分约 7.3bn,已核实,未过期,是,不得把 backlog 环比大幅上升简单解释为纯订单加速
FACT-IO2026-001,io_monthly_tokens_processed,3.2,quadrillion tokens/month,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 monthly tokens processed across Google surfaces over 3.2 quadrillion,已核实,未过期,否,事件观察；证明 AI 使用量增长但不直接等同收入或 FCF
FACT-IO2026-002,io_token_growth_yoy,7,x YoY,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 token 处理量同比约 7 倍,已核实,未过期,否,事件观察；需后续验证是否转化为收入和利润
FACT-IO2026-003,io_monthly_developers,8.5,million developers,Google I/O 2026,SRC-IO2026-SUNDAR,2026-05-19,2026-05-20,官方主题演讲披露 over 8.5 million developers building monthly with Google models,已核实,未过期,否,开发者生态指标；不直接进入估值结论
