evidence_id,fact,source,source_type,date,metric_scope,verification,freshness,impact,conclusion_eligible,used_in
EV-2026-0001,"理想汽车证券代码为 Nasdaq: LI、HKEX: 2015。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-report-first-quarter-2026-financial-results-may-28","公司IR公告","2026-05-12","证券代码；公司公告口径；访问日期2026-05-17","已核实","最新","中性","是","一页纸;面板;决策框架"
EV-2026-0002,"理想汽车将于2026-05-28美股盘前发布2026年一季度未经审计财务业绩，并于同日8:00 AM ET举行电话会。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-report-first-quarter-2026-financial-results-may-28","公司IR公告","2026-05-12","事件日期；美东时间；访问日期2026-05-17","已核实","最新","中性","是","一页纸;面板;决策框架"
EV-2026-0003,"2025年全年交付406,343辆，2025年四季度交付109,194辆；2024年全年交付500,508辆。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-announces-unaudited-fourth-quarter-and-full-year-4/","公司IR财报公告","2026-03-12","车辆交付；截至2025-12-31；访问日期2026-05-17","已核实","有效","反对","是","一页纸;面板;决策框架"
EV-2026-0004,"2025年全年收入1123.125亿元人民币，同比下降22.3%；2025年四季度收入287.754亿元人民币，同比下降35.0%。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-announces-unaudited-fourth-quarter-and-full-year-4/","公司IR财报公告","2026-03-12","未经审计；人民币；截至2025-12-31；访问日期2026-05-17","已核实","有效","反对","是","一页纸;面板;决策框架"
EV-2026-0005,"2025年全年毛利率18.7%、车辆毛利率17.9%；2025年四季度毛利率17.8%、车辆毛利率16.8%。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-announces-unaudited-fourth-quarter-and-full-year-4/","公司IR财报公告","2026-03-12","未经审计；毛利率/车辆毛利率；访问日期2026-05-17","已核实","有效","中性","是","一页纸;面板;决策框架"
EV-2026-0006,"2025年全年净利润11.394亿元人民币，同比下降85.8%；2025年全年自由现金流为-128.169亿元人民币。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-announces-unaudited-fourth-quarter-and-full-year-4/","公司IR财报公告","2026-03-12","未经审计；人民币；Non-GAAP FCF；访问日期2026-05-17","已核实","有效","反对","是","一页纸;面板;决策框架"
EV-2026-0007,"截至2025-12-31，理想汽车现金头寸为1012亿元人民币。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-announces-unaudited-fourth-quarter-and-full-year-4/","公司IR财报公告","2026-03-12","现金及现金等价物、受限现金、定期存款和短期投资合计口径；访问日期2026-05-17","已核实","有效","支持","是","一页纸;面板;决策框架"
EV-2026-0008,"公司对2026年一季度指引为交付85,000-90,000辆、收入204-216亿元人民币。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-announces-unaudited-fourth-quarter-and-full-year-4/","公司IR财报公告","2026-03-12","管理层指引；未经审计；访问日期2026-05-17","已核实","有效","中性","是","一页纸;面板;决策框架"
EV-2026-0009,"理想汽车2026年1月、2月、3月分别交付27,668辆、26,421辆、41,053辆，合计95,142辆，超过Q1指引上限。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-january-2026-delivery-update/; https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-february-2026-delivery-update/; https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-march-2026-delivery-update/","公司IR月度交付公告","2026-02-01;2026-03-01;2026-04-01","月度交付；车辆数；访问日期2026-05-17","已核实","最新","支持","是","一页纸;面板;决策框架"
EV-2026-0010,"理想汽车2026年4月交付34,085辆，截至2026-04-30累计交付1,669,442辆。","https://ir.lixiang.com/news-releases/news-release-details/li-auto-inc-april-2026-delivery-update","公司IR月度交付公告","2026-05-01","月度交付；车辆数；访问日期2026-05-17","已核实","最新","中性","是","一页纸;面板;决策框架"
