source_id,source_name,source_type,url,published_date,accessed_date,period,methodology,verified_status,stale_status,notes
SRC-PLACEHOLDER,数据缺失,待核实,数据缺失,数据缺失,数据缺失,2026Q1,数据缺失,待核实,待核查,占位行；官方来源绑定前不得支撑结论
SRC-2026Q1-ER,Alphabet Announces First Quarter 2026 Results,官方公告,https://s206.q4cdn.com/479360582/files/doc_financials/2026/q1/2026q1-alphabet-earnings-release.pdf,2026-04-29,2026-05-18,2026Q1,Alphabet earnings release / SEC Exhibit 99.1,已核实,未过期,用于 2026Q1 收入、分部、OCF、CapEx、FCF 和 TTM FCF
SRC-2026Q1-10Q,Alphabet Form 10-Q for quarter ended March 31 2026,SEC 10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,2026-04-30,2026-05-18,2026Q1,SEC Form 10-Q；用于核实 backlog 数值和口径变化,已核实,未过期,backlog 口径变化必须随事实一并引用
SRC-IO2026-SUNDAR,I/O 2026: Welcome to the agentic Gemini era,官方主题演讲文字稿,https://blog.google/innovation-and-ai/sundar-pichai-io-2026/,2026-05-19,2026-05-20,Google I/O 2026,Google CEO Sundar Pichai I/O 2026 remarks edited transcript,已核实,未过期,用于 I/O 事件影响观察；不直接解锁买入或加仓结论
SRC-IO2026-GEMINI-APP,The Gemini app becomes more agentic delivering proactive 24/7 help,官方产品公告,https://blog.google/innovation-and-ai/products/gemini-app/next-evolution-gemini-app/,2026-05-19,2026-05-20,Google I/O 2026,Google Blog Gemini app product announcement,已核实,未过期,用于核实 Gemini App、Omni、Spark、Daily Brief 等产品事实
SRC-IO2026-DEVELOPER,Building the agentic future: Developer highlights from I/O 2026,官方开发者公告,https://blog.google/innovation-and-ai/technology/developers-tools/google-io-2026-developer-highlights/,2026-05-19,2026-05-20,Google I/O 2026,Google Blog developer tools announcement,已核实,未过期,用于核实 Gemini 3.5 Flash、Antigravity 2.0、Managed Agents 和 AI Ultra
SRC-STATCOUNTER-SEARCH-202604,Search Engine Market Share Worldwide April 2026,第三方数据,https://gs.statcounter.com/search-engine-market-share/all,2026-04-30,2026-05-21,2026-04,StatCounter Global Stats worldwide search engine market share,已核实,未过期,第三方份额数据；用于 Search 护城河辅助判断
SRC-2025Q1-10Q,Alphabet Form 10-Q for quarter ended March 31 2025,SEC 10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/goog-20250331.htm,2025-04-25,2026-05-21,2025Q1,SEC Form 10-Q；用于 Cloud backlog 同期基数,已核实,历史基准,用于计算原始 backlog 同比；2026Q1 口径变化导致不可完全可比
SRC-IO2026-COLLECTION,Google I/O 2026 News and announcements,官方公告集合,https://blog.google/innovation-and-ai/technology/developers-tools/google-io-2026-collection/,2026-05-19,2026-05-23,Google I/O 2026,Google Blog I/O 2026 official announcement collection,已核实,未过期,用于核实 I/O 2026 官方公告范围和产品线覆盖
SRC-IO2026-SEARCH,A new era for AI Search,官方产品公告,https://blog.google/products-and-platforms/products/search/search-io-2026/,2026-05-19,2026-05-23,Google I/O 2026,Google Search product announcement by VP Search Elizabeth Reid,已核实,未过期,用于核实 AI Mode、Search box、information agents、agentic booking 和 generative UI
SRC-IO2026-GEMINI35,Gemini 3.5: frontier intelligence with action,官方模型公告,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-5/,2026-05-19,2026-05-23,Google I/O 2026,Google Blog / DeepMind Gemini 3.5 announcement,已核实,未过期,用于核实 Gemini 3.5 Flash 性能、速度、可用性和 3.5 Pro 路线图
SRC-IO2026-SUBSCRIPTIONS,Everything new in our Google AI subscriptions fresh from I/O 2026,官方产品公告,https://blog.google/products-and-platforms/products/google-one/google-ai-subscriptions/,2026-05-19,2026-05-23,Google I/O 2026,Google AI subscriptions official announcement,已核实,未过期,用于核实 AI Ultra 100/200 美元层级和 Spark 订阅可用性
SRC-IO2026-CLOUD,Innovations from Google I/O 26 on Google Cloud,官方 Cloud 公告,https://cloud.google.com/blog/products/ai-machine-learning/innovations-from-google-io-26-on-google-cloud,2026-05-19,2026-05-23,Google I/O 2026,Google Cloud official blog,已核实,未过期,用于核实 Antigravity、Gemini Enterprise、Spark 企业版和 Cloud 客户/伙伴反馈
SRC-MARKETBEAT-GOOGL-20260522,Alphabet GOOGL Stock Forecast and Price Target,二手市场数据,https://www.marketbeat.com/stocks/NASDAQ/GOOGL/forecast/,2026-05-22,2026-05-23,2026-05-22,MarketBeat quote and analyst forecast page,已核实,未过期,用于核实 2026-05-22 收盘价和聚合目标价；二手来源仅作行情/共识参考
SRC-BENZINGA-GOOGL-20260522,Alphabet analyst ratings and price targets,二手市场数据,https://www.benzinga.com/quote/GOOGL/analyst-ratings,2026-05-22,2026-05-23,2026-05-22,Benzinga quote and analyst ratings page,已核实,未过期,用于交叉核实 2026-05-22 收盘价、盘后价和分析师目标价分布
SRC-INVESTING-IO-ANALYSTS-20260521,Analyst reactions after Google I/O 2026,二手新闻,https://www.investing.com/news/analyst-ratings/td-cowen-reiterates-alphabet-stock-buy-rating-on-ai-growth-93CH-4704382,2026-05-21,2026-05-23,Google I/O 2026,Investing.com / Reuters analyst reaction summary,已核实,未过期,用于记录 TD Cowen、BofA、Stifel 等 I/O 后观点；原始投行研报未取得
